example_id,skill_id,skill_ch_name,chapter,section,source_type,source_description,difficulty_level,difficulty_h,subskill_id,subskill_name,template_candidate_id,template_candidate_name,variation_possible,same_difficulty_rule,data_to_randomize,constraints_to_preserve,answer_verification_need,exclude_from_generator,exclude_reason,review_required,notes
3628,vh_數學B4_FactorialNotation,階乘記法,1 排列組合,1-1 加法原理與乘法原理,textbook_example,例題5 [source_type=textbook_example | needs_review=true | dedupe=124a300ec5046391],1,1,b4_ch1_factorial_eval_01,階乘數值計算,tc_factorial_eval_01,階乘式求值,partial,保持階乘數相除結構，只替換數值，且答案為正整數,階乘的數字,分母不可大於分子,factorial,no,,yes,
3629,vh_數學B4_FactorialNotation,階乘記法,1 排列組合,1-1 加法原理與乘法原理,textbook_example,例題6 [source_type=textbook_example | dedupe=0419654c62983733],2,1,b4_ch1_factorial_solve_02,階乘方程式求解,tc_factorial_solve_n_02,階乘方程求正整數 n,yes,保持 n!/(n-k)! = C 的形式,k值與常數C,C 必須是連續 k 個整數的乘積,factorial,no,,no,
3630,vh_數學B4_FactorialNotation,階乘記法,1 排列組合,1-1 加法原理與乘法原理,in_class_practice,隨堂練習5 [source_type=in_class_practice | linked_example=例題5 | needs_review=true | dedupe=c9320cbdcbe96265],1,1,b4_ch1_factorial_eval_01,階乘數值計算,tc_factorial_eval_01,階乘式求值,partial,保持階乘數相除結構，只替換數值，且答案為正整數,階乘的數字,分母不可大於分子,factorial,no,,yes,
3631,vh_數學B4_FactorialNotation,階乘記法,1 排列組合,1-1 加法原理與乘法原理,in_class_practice,隨堂練習6 [source_type=in_class_practice | linked_example=例題6 | dedupe=08e8b9634a1af38c],2,1,b4_ch1_factorial_solve_02,階乘方程式求解,tc_factorial_solve_n_02,階乘方程求正整數 n,yes,保持 n!/(n-k)! = C 的形式,k值與常數C,C 必須是連續 k 個整數的乘積,factorial,no,,no,
3621,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,textbook_example,例題3 [source_type=textbook_example | dedupe=ae07de3027e08d84],1,1,b4_ch1_mult_principle_01,乘法原理基本應用,tc_mult_principle_independent_choices_01,多階段選擇乘法原理,yes,保持同樣的步驟數與分類數，只替換選項數,各類別的數量,各數量為正整數,multiplication_principle,no,,no,
3622,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,textbook_example,例題4 [source_type=textbook_example | dedupe=3fd365e2b1802333],2,1,b4_ch1_mult_factors_02,正因數個數計算,tc_divisor_count_prime_factorization_02,正因數個數計算,yes,保持數字的質因數個數相近,給定的大數字,數字不能太大以免計算複雜,multiplication_principle,no,,no,
3623,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,in_class_practice,隨堂練習3 [source_type=in_class_practice | linked_example=例題3 | dedupe=720fdda45a3da5c8],1,1,b4_ch1_mult_principle_01,乘法原理基本應用,tc_mult_principle_independent_choices_01,多階段選擇乘法原理,yes,保持同樣的步驟數與分類數，只替換選項數,各類別的數量,各數量為正整數,multiplication_principle,no,,no,
3624,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,in_class_practice,隨堂練習4 [source_type=in_class_practice | linked_example=例題4 | dedupe=16d1bbc47021e2dd],2,1,b4_ch1_mult_factors_02,正因數個數計算,tc_divisor_count_prime_factorization_02,正因數個數計算,yes,保持數字的質因數個數相近,給定的大數字,數字不能太大以免計算複雜,multiplication_principle,no,,no,
3669,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,self_assessment,自我評量 2 [source_type=self_assessment | needs_review=true | dedupe=4d9983c056cd3841],1,1,b4_ch1_mult_principle_01,乘法原理基本應用,tc_mult_principle_independent_choices_01,多階段選擇乘法原理,partial,保持同樣的步驟數與分類數，只替換選項數,各類別的數量,各數量為正整數,multiplication_principle,no,,yes,
3670,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,self_assessment,自我評量 3 [source_type=self_assessment | needs_review=true | dedupe=633e4c2bd77cd9e7],2,1,b4_ch1_mult_principle_01,乘法原理基本應用,tc_mult_principle_independent_choices_01,多階段選擇乘法原理,partial,保持同樣的步驟數與分類數，只替換選項數,各類別的數量,各數量為正整數,multiplication_principle,no,,yes,
3671,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,self_assessment,自我評量 4 [source_type=self_assessment | needs_review=true | dedupe=abb4d4295a9d2919],2,1,b4_ch1_mult_digits_03,數字排法乘法原理,tc_mult_digits_no_repeat_03,數字排列無重複,partial,保持是否含 0 及是否不重複的條件,區間範圍或給定數字集合,數字不重複，首位不為0,multiplication_principle,no,,yes,
3625,vh_數學B4_MultiplicationPrinciple,乘法原理,1 排列組合,1-1 加法原理與乘法原理,basic_exercise,1-1習題 基礎題4 [source_type=basic_exercise | dedupe=22f0271fffe8f5ed],2,1,b4_ch1_mult_principle_01,乘法原理基本應用,tc_mult_principle_independent_choices_01,多階段選擇乘法原理,yes,保持同樣的步驟數與分類數，只替換選項數,各類別的數量,各數量為正整數,multiplication_principle,no,,no,
3614,vh_數學B4_TreeDiagramCounting,樹狀圖,1 排列組合,1-1 加法原理與乘法原理,textbook_example,例題1 [source_type=textbook_example | dedupe=51f014d629f7c8f4],1,1,b4_ch1_tree_diagram_01,樹狀圖計數,tc_tree_diagram_listing_01,樹狀圖列舉,partial,保持階段數、每階段分支數、停止條件或列舉規則相近,次數,若題目要求畫樹狀圖，正式視覺輸出需另行處理；若只要求列舉情形或計算情形數，可用枚舉驗證,enumeration_count,no,,no,可先產生文字列舉與情形數；樹狀圖繪製功能暫不處理
3615,vh_數學B4_TreeDiagramCounting,樹狀圖,1 排列組合,1-1 加法原理與乘法原理,in_class_practice,隨堂練習1 [source_type=in_class_practice | linked_example=例題1 | dedupe=ad68426e98649c19],1,1,b4_ch1_tree_diagram_01,樹狀圖計數,tc_tree_diagram_listing_01,樹狀圖列舉,partial,保持階段數、每階段分支數、停止條件或列舉規則相近,次數,若題目要求畫樹狀圖，正式視覺輸出需另行處理；若只要求列舉情形或計算情形數，可用枚舉驗證,enumeration_count,no,,no,可先產生文字列舉與情形數；樹狀圖繪製功能暫不處理
3616,vh_數學B4_TreeDiagramCounting,樹狀圖,1 排列組合,1-1 加法原理與乘法原理,basic_exercise,1-1習題 基礎題1 [source_type=basic_exercise | dedupe=a04d160ba4003e79],1,1,b4_ch1_tree_diagram_01,樹狀圖計數,tc_tree_diagram_listing_01,樹狀圖列舉,partial,保持階段數、每階段分支數、停止條件或列舉規則相近,次數,若題目要求畫樹狀圖，正式視覺輸出需另行處理；若只要求列舉情形或計算情形數，可用枚舉驗證,enumeration_count,no,,no,可先產生文字列舉與情形數；樹狀圖繪製功能暫不處理
3617,vh_數學B4_TreeDiagramCounting,樹狀圖,1 排列組合,1-1 加法原理與乘法原理,advanced_exercise,1-1習題 進階題10 [source_type=advanced_exercise | dedupe=87911f8103c4d868],2,1,b4_ch1_tree_diagram_01,樹狀圖計數,tc_tree_diagram_listing_01,樹狀圖列舉,partial,保持階段數、每階段分支數、停止條件或列舉規則相近,次數,若題目要求畫樹狀圖，正式視覺輸出需另行處理；若只要求列舉情形或計算情形數，可用枚舉驗證,enumeration_count,no,,no,可先產生文字列舉與情形數；樹狀圖繪製功能暫不處理
3599,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,textbook_example,例題1 [source_type=textbook_example | dedupe=166ad3c1b0f15334],1,1,b4_ch1_perm_linear_01,直線全排列,tc_perm_full_arrangement_01,相異物全取排列,yes,保持全取直線排列結構,物件總數,物件數 <= 10,permutation,no,,no,
3600,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,textbook_example,例題2 [source_type=textbook_example | needs_review=true | dedupe=eafe9b168198f4b5],1,1,b4_ch1_perm_formula_02,排列符號計算,tc_perm_formula_eval_02,"排列記號 P(n,r) 求值",partial,"保持 P(n,r) 的 r 值與計算規模相近","n, r",n >= r,permutation,no,,yes,
3601,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,textbook_example,例題3 [source_type=textbook_example | dedupe=c2f947aacee93f5f],1,1,b4_ch1_perm_select_03,選取排列,tc_perm_role_assignment_03,不同職務分配,yes,保持不同職務/位置的抽取數,"總人數, 職務數",總人數 >= 職務數,permutation,no,,no,
3602,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,textbook_example,例題4 [source_type=textbook_example | dedupe=0f113155e2bd3752],2,1,b4_ch1_perm_digits_04,數字選取排列,tc_perm_digit_parity_04,數字排列含奇偶限制,yes,保持是否含 0、是否限制末位奇偶的條件,"數字集合, 排列位數",集合需包含足夠的奇偶數,permutation,no,,no,
3603,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,textbook_example,例題5 [source_type=textbook_example | dedupe=d5b2d0f3224bcf5d],2,1,b4_ch1_perm_adjacent_05,相鄰與不相鄰排列,tc_perm_adjacent_block_05,相鄰與不相鄰限制排列,yes,保持相鄰/不相鄰條件不變，只替換類別數量,各類別物件數量,不相鄰的插空數需足夠,permutation,no,,no,
3604,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,in_class_practice,隨堂練習1 [source_type=in_class_practice | linked_example=例題1 | needs_review=true | dedupe=658932766f90cfe5],1,1,b4_ch1_perm_linear_01,直線全排列,tc_perm_full_arrangement_01,相異物全取排列,partial,保持全取直線排列結構,物件總數,物件數 <= 10,permutation,no,,yes,
3605,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,in_class_practice,隨堂練習2 [source_type=in_class_practice | linked_example=例題2 | needs_review=true | dedupe=eb458ffd9cd2e3b9],1,1,b4_ch1_perm_formula_02,排列符號計算,tc_perm_formula_eval_02,"排列記號 P(n,r) 求值",partial,"保持 P(n,r) 的 r 值與計算規模相近","n, r",n >= r,permutation,no,,yes,
3606,vh_數學B4_PermutationOfDistinctObjects,相異物的排列,1 排列組合,1-2 直線排列,in_class_practice,隨堂練習3 [source_type=in_class_practice | linked_example=例題3 | dedupe=a57d608235966fd0],1,1,b4_ch1_perm_select_03,選取排列,tc_perm_role_assignment_03,不同職務分配,yes,保持不同職務/位置的抽取數,"總人數, 職務數",總人數 >= 職務數,permutation,no,,no,
3681,vh_數學B4_PermutationWithRepetition,重複排列,1 排列組合,1-3 重複排列,self_assessment,自我評量 14 [source_type=self_assessment | needs_review=true | dedupe=e013df0879f5f4e2],1,1,b4_ch1_repeated_choice_01,重複選擇基本計數,tc_repeated_choice_basic_01,重複選擇基本計數,yes,保持選項數與選擇者數量的規模相近，只替換情境與數字,選項種類數、選擇者人數、情境名稱,每位選擇者可重複選擇；選擇彼此獨立；總數為 選項數^選擇者數,repeated_permutation,no,,yes,此類題為重複排列/獨立重複選擇，不是不盡相異物排列
3682,vh_數學B4_PermutationWithRepetition,重複排列,1 排列組合,1-3 重複排列,self_assessment,自我評量 15 [source_type=self_assessment | needs_review=true | dedupe=95518f70ecc1f67d],1,1,b4_ch1_repeated_choice_01,重複選擇基本計數,tc_repeated_choice_basic_01,重複選擇基本計數,yes,保持選項數與選擇者數量的規模相近，只替換情境與數字,選項種類數、選擇者人數、情境名稱,每位選擇者可重複選擇；選擇彼此獨立；總數為 選項數^選擇者數,repeated_permutation,no,,yes,此類題為重複排列/獨立重複選擇，不是不盡相異物排列
3632,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,textbook_example,例題 1 [source_type=textbook_example | dedupe=985ae6435f7014bc],1,1,b4_ch1_rep_perm_digits_01,數字重複排列,tc_rep_perm_digits_01,數字重複排列,yes,保持重複選取數字位數,"數字集合, 取出位數",集合需符合條件要求,repeated_permutation,no,,no,
3633,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,textbook_example,例題 2 [source_type=textbook_example | dedupe=c6f2d23bd63d8e6c],1,1,b4_ch1_rep_perm_assign_02,重複排列分派問題,tc_rep_perm_assign_02,重複排列分派計數,yes,保持物品與接收者的對應邏輯,"物品數, 接收者數",釐清何者為底數何者為指數,repeated_permutation,no,,no,
3634,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,textbook_example,例題 3 [source_type=textbook_example | dedupe=ffca76e15e08dcb4],2,1,b4_ch1_rep_perm_assign_02,重複排列分派問題,tc_rep_perm_assign_02,重複排列分派計數,yes,保持物品與接收者的對應邏輯,"物品數, 接收者數",釐清何者為底數何者為指數,repeated_permutation,no,,no,
3635,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,in_class_practice,隨堂練習 1 [source_type=in_class_practice | linked_example=例題 1 | dedupe=9127e0e88d10a4f8],1,1,b4_ch1_rep_perm_digits_01,數字重複排列,tc_rep_perm_digits_01,數字重複排列,yes,保持重複選取數字位數,"數字集合, 取出位數",集合需符合條件要求,repeated_permutation,no,,no,
3636,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,in_class_practice,隨堂練習 2 [source_type=in_class_practice | linked_example=例題 2 | dedupe=9c90aa7168face23],1,1,b4_ch1_rep_perm_assign_02,重複排列分派問題,tc_rep_perm_assign_02,重複排列分派計數,yes,保持物品與接收者的對應邏輯,"物品數, 接收者數",釐清何者為底數何者為指數,repeated_permutation,no,,no,
3637,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,in_class_practice,隨堂練習 3 [source_type=in_class_practice | linked_example=例題 3 | dedupe=8881073d16720de2],1,1,b4_ch1_rep_perm_assign_02,重複排列分派問題,tc_rep_perm_assign_02,重複排列分派計數,yes,保持物品與接收者的對應邏輯,"物品數, 接收者數",釐清何者為底數何者為指數,repeated_permutation,no,,no,
3638,vh_數學B4_RepeatedPermutation,重複排列,1 排列組合,1-3 重複排列,basic_exercise,1-3 習題 基礎題 2 [source_type=basic_exercise | dedupe=6bd8f549d26763d0],2,1,b4_ch1_rep_perm_digits_01,數字重複排列,tc_rep_perm_digits_01,數字重複排列,yes,保持重複選取數字位數,"數字集合, 取出位數",集合需符合條件要求,repeated_permutation,no,,no,
