episode_id,student_group,student_type,student_type_zh,steps_taken,final_mastery,success,mainline_steps,remediation_steps,reached_mastery_step,total_mastery_gain
1,Careless,careless,拔尖組,15,0.8015,1,13,2,15,0.1957
2,Careless,careless,拔尖組,31,0.8018,1,24,7,31,0.308
3,Careless,careless,拔尖組,4,0.8049,1,4,0,4,0.0727
4,Careless,careless,拔尖組,10,0.8017,1,6,4,10,0.087
5,Careless,careless,拔尖組,16,0.8161,1,12,4,16,0.1397
6,Careless,careless,拔尖組,10,0.8218,1,10,0,10,0.1423
7,Careless,careless,拔尖組,1,0.8054,1,1,0,1,0.0401
8,Careless,careless,拔尖組,13,0.8096,1,11,2,13,0.1414
9,Careless,careless,拔尖組,40,0.8082,1,25,15,40,0.1869
10,Careless,careless,拔尖組,40,0.6627,0,24,16,,0.1616
11,Careless,careless,拔尖組,25,0.8204,1,15,10,25,0.1342
12,Careless,careless,拔尖組,5,0.817,1,3,2,5,0.1057
13,Careless,careless,拔尖組,21,0.8067,1,13,8,21,0.2001
14,Careless,careless,拔尖組,10,0.8087,1,6,4,10,0.032
15,Careless,careless,拔尖組,16,0.8277,1,14,2,16,0.1898
16,Careless,careless,拔尖組,20,0.8125,1,17,3,20,0.2056
17,Careless,careless,拔尖組,40,0.5523,0,20,20,,0.1035
18,Careless,careless,拔尖組,20,0.8245,1,14,6,20,0.1625
19,Careless,careless,拔尖組,9,0.8133,1,7,2,9,0.0859
20,Careless,careless,拔尖組,26,0.8159,1,18,8,26,0.1775
21,Careless,careless,拔尖組,17,0.8217,1,14,3,17,0.1886
22,Careless,careless,拔尖組,24,0.81,1,17,7,24,0.2372
23,Careless,careless,拔尖組,5,0.8139,1,4,1,5,0.0712
24,Careless,careless,拔尖組,40,0.6558,0,20,20,,0.063
25,Careless,careless,拔尖組,14,0.8015,1,10,4,14,0.1444
26,Careless,careless,拔尖組,31,0.806,1,18,13,31,0.2124
27,Careless,careless,拔尖組,9,0.8214,1,5,4,9,0.0384
28,Careless,careless,拔尖組,5,0.8119,1,5,0,5,0.0913
29,Careless,careless,拔尖組,13,0.842,1,8,5,13,0.1568
30,Careless,careless,拔尖組,18,0.8044,1,12,6,18,0.1868
31,Careless,careless,拔尖組,32,0.8314,1,23,9,32,0.2296
32,Careless,careless,拔尖組,33,0.805,1,21,12,33,0.2879
33,Careless,careless,拔尖組,16,0.8172,1,14,2,16,0.2085
34,Careless,careless,拔尖組,16,0.8319,1,10,6,16,0.1894
35,Careless,careless,拔尖組,20,0.8052,1,14,6,20,0.2516
36,Careless,careless,拔尖組,0,0.8002,1,0,0,,0.0
37,Careless,careless,拔尖組,24,0.8172,1,16,8,24,0.2683
38,Careless,careless,拔尖組,21,0.8047,1,15,6,21,0.2147
39,Careless,careless,拔尖組,23,0.8123,1,13,10,23,0.1285
40,Careless,careless,拔尖組,10,0.8133,1,8,2,10,0.1321
41,Careless,careless,拔尖組,14,0.8113,1,14,0,14,0.1935
42,Careless,careless,拔尖組,21,0.8043,1,15,6,21,0.1896
43,Careless,careless,拔尖組,4,0.814,1,4,0,4,0.0637
44,Careless,careless,拔尖組,26,0.8097,1,15,11,26,0.1139
45,Careless,careless,拔尖組,22,0.8022,1,16,6,22,0.2328
46,Careless,careless,拔尖組,25,0.8038,1,15,10,25,0.1557
47,Careless,careless,拔尖組,13,0.8075,1,7,6,13,0.0942
48,Careless,careless,拔尖組,8,0.8043,1,4,4,8,0.1109
49,Careless,careless,拔尖組,8,0.8283,1,5,3,8,0.1145
50,Careless,careless,拔尖組,17,0.8073,1,11,6,17,0.144
51,Careless,careless,拔尖組,29,0.8006,1,15,14,29,0.1742
52,Careless,careless,拔尖組,7,0.8307,1,5,2,7,0.1148
53,Careless,careless,拔尖組,1,0.8373,1,1,0,1,0.0494
54,Careless,careless,拔尖組,8,0.829,1,6,2,8,0.1416
55,Careless,careless,拔尖組,36,0.8004,1,22,14,36,0.2818
56,Careless,careless,拔尖組,16,0.8073,1,12,4,16,0.2185
57,Careless,careless,拔尖組,13,0.8184,1,11,2,13,0.2088
58,Careless,careless,拔尖組,21,0.8181,1,19,2,21,0.2189
59,Careless,careless,拔尖組,25,0.8053,1,15,10,25,0.2577
60,Careless,careless,拔尖組,13,0.8003,1,10,3,13,0.1543
61,Careless,careless,拔尖組,40,0.4469,0,17,23,,-0.0895
62,Careless,careless,拔尖組,27,0.8148,1,15,12,27,0.2115
63,Careless,careless,拔尖組,39,0.8097,1,22,17,39,0.2898
64,Careless,careless,拔尖組,9,0.8082,1,9,0,9,0.1835
65,Careless,careless,拔尖組,12,0.8212,1,10,2,12,0.1887
66,Careless,careless,拔尖組,4,0.8023,1,4,0,4,0.1039
67,Careless,careless,拔尖組,15,0.8123,1,11,4,15,0.1301
68,Careless,careless,拔尖組,40,0.7631,0,22,18,,0.2929
69,Careless,careless,拔尖組,18,0.8138,1,16,2,18,0.1921
70,Careless,careless,拔尖組,21,0.8249,1,17,4,21,0.2247
71,Careless,careless,拔尖組,5,0.8082,1,3,2,5,0.0479
72,Careless,careless,拔尖組,15,0.8044,1,10,5,15,0.1064
73,Careless,careless,拔尖組,10,0.8129,1,10,0,10,0.1973
74,Careless,careless,拔尖組,40,0.7324,0,22,18,,0.132
75,Careless,careless,拔尖組,7,0.8118,1,5,2,7,0.0762
76,Careless,careless,拔尖組,11,0.8237,1,9,2,11,0.1506
77,Careless,careless,拔尖組,4,0.8008,1,2,2,4,0.0363
78,Careless,careless,拔尖組,14,0.8081,1,10,4,14,0.1529
79,Careless,careless,拔尖組,23,0.8342,1,16,7,23,0.197
80,Careless,careless,拔尖組,5,0.834,1,5,0,5,0.0675
81,Careless,careless,拔尖組,15,0.8038,1,11,4,15,0.1522
82,Careless,careless,拔尖組,15,0.8408,1,9,6,15,0.2023
83,Careless,careless,拔尖組,29,0.84,1,21,8,29,0.2873
84,Careless,careless,拔尖組,5,0.8299,1,5,0,5,0.1493
85,Careless,careless,拔尖組,12,0.8013,1,10,2,12,0.1471
86,Careless,careless,拔尖組,3,0.8224,1,3,0,3,0.0974
87,Careless,careless,拔尖組,20,0.8046,1,16,4,20,0.2484
88,Careless,careless,拔尖組,14,0.8299,1,7,7,14,0.0985
89,Careless,careless,拔尖組,23,0.8141,1,14,9,23,0.258
90,Careless,careless,拔尖組,2,0.805,1,2,0,2,0.0604
91,Careless,careless,拔尖組,24,0.8036,1,14,10,24,0.2615
92,Careless,careless,拔尖組,10,0.8324,1,8,2,10,0.1463
93,Careless,careless,拔尖組,7,0.8061,1,5,2,7,0.0924
94,Careless,careless,拔尖組,8,0.8212,1,8,0,8,0.1323
95,Careless,careless,拔尖組,10,0.8112,1,10,0,10,0.1662
96,Careless,careless,拔尖組,40,0.477,0,18,22,,-0.1068
97,Careless,careless,拔尖組,12,0.8107,1,10,2,12,0.1621
98,Careless,careless,拔尖組,12,0.8014,1,7,5,12,0.1563
99,Careless,careless,拔尖組,12,0.8311,1,8,4,12,0.1598
100,Careless,careless,拔尖組,20,0.8065,1,12,8,20,0.1986
101,Average,average,固本組,33,0.8023,1,23,10,33,0.2881
102,Average,average,固本組,32,0.8036,1,24,8,32,0.2963
103,Average,average,固本組,27,0.8004,1,21,6,27,0.2921
104,Average,average,固本組,27,0.8002,1,21,6,27,0.2702
105,Average,average,固本組,25,0.8069,1,18,7,25,0.2682
106,Average,average,固本組,19,0.8059,1,17,2,19,0.2755
107,Average,average,固本組,31,0.8036,1,23,8,31,0.2894
108,Average,average,固本組,40,0.3914,0,14,26,,-0.1316
109,Average,average,固本組,28,0.8071,1,20,8,28,0.2539
110,Average,average,固本組,37,0.8066,1,23,14,37,0.2857
111,Average,average,固本組,40,0.8041,1,28,12,40,0.2755
112,Average,average,固本組,31,0.8066,1,23,8,31,0.2809
113,Average,average,固本組,24,0.8174,1,18,6,24,0.2736
114,Average,average,固本組,21,0.8011,1,21,0,21,0.2627
115,Average,average,固本組,28,0.8076,1,20,8,28,0.3041
116,Average,average,固本組,23,0.8128,1,17,6,23,0.2689
117,Average,average,固本組,30,0.8056,1,25,5,30,0.275
118,Average,average,固本組,22,0.8163,1,22,0,22,0.3085
119,Average,average,固本組,40,0.7389,0,27,13,,0.2088
120,Average,average,固本組,26,0.8054,1,20,6,26,0.2858
121,Average,average,固本組,32,0.8107,1,26,6,32,0.266
122,Average,average,固本組,21,0.8096,1,17,4,21,0.2763
123,Average,average,固本組,22,0.8058,1,20,2,22,0.2675
124,Average,average,固本組,22,0.8171,1,20,2,22,0.2928
125,Average,average,固本組,31,0.8055,1,21,10,31,0.3127
126,Average,average,固本組,27,0.8055,1,19,8,27,0.2811
127,Average,average,固本組,18,0.8167,1,18,0,18,0.2799
128,Average,average,固本組,29,0.8102,1,23,6,29,0.2898
129,Average,average,固本組,25,0.8176,1,21,4,25,0.2949
130,Average,average,固本組,30,0.8223,1,22,8,30,0.2917
131,Average,average,固本組,24,0.8076,1,22,2,24,0.2904
132,Average,average,固本組,22,0.8067,1,19,3,22,0.2766
133,Average,average,固本組,23,0.8003,1,21,2,23,0.2757
134,Average,average,固本組,31,0.8002,1,24,7,31,0.2603
135,Average,average,固本組,31,0.8153,1,25,6,31,0.2831
136,Average,average,固本組,24,0.8005,1,20,4,24,0.2779
137,Average,average,固本組,40,0.784,0,24,16,,0.2616
138,Average,average,固本組,34,0.8016,1,22,12,34,0.2839
139,Average,average,固本組,34,0.8025,1,18,16,34,0.2883
140,Average,average,固本組,28,0.8028,1,20,8,28,0.2802
141,Average,average,固本組,40,0.6318,0,18,22,,0.1166
142,Average,average,固本組,25,0.8044,1,19,6,25,0.2839
143,Average,average,固本組,25,0.8082,1,23,2,25,0.2864
144,Average,average,固本組,36,0.8014,1,24,12,36,0.2759
145,Average,average,固本組,28,0.819,1,24,4,28,0.2874
146,Average,average,固本組,30,0.8155,1,24,6,30,0.2659
147,Average,average,固本組,24,0.804,1,20,4,24,0.2672
148,Average,average,固本組,29,0.8031,1,21,8,29,0.2622
149,Average,average,固本組,38,0.8136,1,28,10,38,0.2939
150,Average,average,固本組,26,0.8169,1,22,4,26,0.2798
151,Average,average,固本組,29,0.8062,1,17,12,29,0.2834
152,Average,average,固本組,40,0.7463,0,24,16,,0.2355
153,Average,average,固本組,31,0.8012,1,23,8,31,0.2617
154,Average,average,固本組,31,0.8095,1,24,7,31,0.2747
155,Average,average,固本組,29,0.8052,1,23,6,29,0.3088
156,Average,average,固本組,32,0.8093,1,24,8,32,0.2891
157,Average,average,固本組,28,0.8006,1,24,4,28,0.2712
158,Average,average,固本組,33,0.814,1,23,10,33,0.2833
159,Average,average,固本組,22,0.8013,1,18,4,22,0.2647
160,Average,average,固本組,19,0.8034,1,17,2,19,0.2647
161,Average,average,固本組,26,0.8036,1,22,4,26,0.2732
162,Average,average,固本組,29,0.8205,1,19,10,29,0.3085
163,Average,average,固本組,30,0.8048,1,22,8,30,0.2758
164,Average,average,固本組,30,0.8021,1,26,4,30,0.2789
165,Average,average,固本組,20,0.8062,1,20,0,20,0.2789
166,Average,average,固本組,40,0.794,0,28,12,,0.2666
167,Average,average,固本組,39,0.8067,1,23,16,39,0.2578
168,Average,average,固本組,26,0.8031,1,18,8,26,0.2417
169,Average,average,固本組,26,0.8075,1,20,6,26,0.2949
170,Average,average,固本組,27,0.8007,1,19,8,27,0.2687
171,Average,average,固本組,36,0.8142,1,26,10,36,0.2832
172,Average,average,固本組,18,0.8111,1,18,0,18,0.2644
173,Average,average,固本組,31,0.8132,1,21,10,31,0.3063
174,Average,average,固本組,31,0.8057,1,27,4,31,0.297
175,Average,average,固本組,30,0.8019,1,24,6,30,0.2822
176,Average,average,固本組,34,0.8075,1,22,12,34,0.2928
177,Average,average,固本組,29,0.8013,1,21,8,29,0.2953
178,Average,average,固本組,35,0.8009,1,25,10,35,0.2845
179,Average,average,固本組,25,0.8062,1,21,4,25,0.2862
180,Average,average,固本組,40,0.6849,0,22,18,,0.1586
181,Average,average,固本組,21,0.8091,1,19,2,21,0.3105
182,Average,average,固本組,40,0.7239,0,26,14,,0.2109
183,Average,average,固本組,23,0.8065,1,19,4,23,0.2654
184,Average,average,固本組,29,0.8149,1,21,8,29,0.3026
185,Average,average,固本組,22,0.8116,1,20,2,22,0.2791
186,Average,average,固本組,27,0.8005,1,21,6,27,0.2728
187,Average,average,固本組,25,0.8104,1,21,4,25,0.2815
188,Average,average,固本組,30,0.8033,1,26,4,30,0.3002
189,Average,average,固本組,23,0.8088,1,17,6,23,0.269
190,Average,average,固本組,27,0.8197,1,23,4,27,0.2956
191,Average,average,固本組,33,0.8134,1,25,8,33,0.293
192,Average,average,固本組,25,0.8004,1,23,2,25,0.2832
193,Average,average,固本組,36,0.8012,1,24,12,36,0.2579
194,Average,average,固本組,23,0.807,1,19,4,23,0.2856
195,Average,average,固本組,17,0.8123,1,15,2,17,0.2787
196,Average,average,固本組,33,0.8001,1,19,14,33,0.2894
197,Average,average,固本組,38,0.819,1,22,16,38,0.301
198,Average,average,固本組,40,0.4066,0,16,24,,-0.0979
199,Average,average,固本組,29,0.8066,1,23,6,29,0.2893
200,Average,average,固本組,23,0.8162,1,19,4,23,0.2636
201,Weak,weak,減C組,40,0.5566,0,18,22,,0.2361
202,Weak,weak,減C組,40,0.2194,0,14,26,,-0.0775
203,Weak,weak,減C組,40,0.374,0,16,24,,0.1086
204,Weak,weak,減C組,40,0.558,0,26,14,,0.2216
205,Weak,weak,減C組,40,0.4166,0,16,24,,0.0939
206,Weak,weak,減C組,40,0.3345,0,17,23,,0.0343
207,Weak,weak,減C組,40,0.5876,0,20,20,,0.2744
208,Weak,weak,減C組,40,0.4388,0,22,18,,0.1353
209,Weak,weak,減C組,40,0.5121,0,20,20,,0.2248
210,Weak,weak,減C組,40,0.5317,0,22,18,,0.2782
211,Weak,weak,減C組,40,0.3246,0,18,22,,0.0191
212,Weak,weak,減C組,40,0.3355,0,18,22,,0.0768
213,Weak,weak,減C組,40,0.5154,0,22,18,,0.2057
214,Weak,weak,減C組,40,0.3971,0,20,20,,0.1136
215,Weak,weak,減C組,40,0.3947,0,17,23,,0.0677
216,Weak,weak,減C組,40,0.2198,0,16,24,,-0.0744
217,Weak,weak,減C組,40,0.4835,0,20,20,,0.1376
218,Weak,weak,減C組,40,0.4925,0,22,18,,0.1967
219,Weak,weak,減C組,40,0.5773,0,22,18,,0.2737
220,Weak,weak,減C組,40,0.5487,0,24,16,,0.253
221,Weak,weak,減C組,40,0.3714,0,17,23,,0.0492
222,Weak,weak,減C組,40,0.6101,0,26,14,,0.3202
223,Weak,weak,減C組,40,0.5394,0,22,18,,0.2156
224,Weak,weak,減C組,40,0.4965,0,24,16,,0.2025
225,Weak,weak,減C組,40,0.3029,0,16,24,,0.0152
226,Weak,weak,減C組,40,0.3324,0,14,26,,0.0353
227,Weak,weak,減C組,40,0.394,0,17,23,,0.0788
228,Weak,weak,減C組,40,0.58,0,20,20,,0.2742
229,Weak,weak,減C組,40,0.5509,0,22,18,,0.2383
230,Weak,weak,減C組,40,0.529,0,18,22,,0.2237
231,Weak,weak,減C組,40,0.2041,0,16,24,,-0.0958
232,Weak,weak,減C組,40,0.2019,0,16,24,,-0.0805
233,Weak,weak,減C組,40,0.773,0,26,14,,0.4187
234,Weak,weak,減C組,40,0.3945,0,17,23,,0.0701
235,Weak,weak,減C組,40,0.6552,0,24,16,,0.3435
236,Weak,weak,減C組,40,0.2315,0,15,25,,-0.0765
237,Weak,weak,減C組,40,0.3487,0,20,20,,0.068
238,Weak,weak,減C組,40,0.5366,0,18,22,,0.2078
239,Weak,weak,減C組,40,0.4507,0,22,18,,0.1712
240,Weak,weak,減C組,40,0.3426,0,16,24,,0.021
241,Weak,weak,減C組,40,0.2948,0,14,26,,0.0284
242,Weak,weak,減C組,40,0.6921,0,25,15,,0.3887
243,Weak,weak,減C組,40,0.2403,0,15,25,,-0.0426
244,Weak,weak,減C組,40,0.4649,0,20,20,,0.117
245,Weak,weak,減C組,40,0.7604,0,24,16,,0.4062
246,Weak,weak,減C組,40,0.3229,0,16,24,,-0.0045
247,Weak,weak,減C組,40,0.4079,0,17,23,,0.0865
248,Weak,weak,減C組,40,0.2158,0,16,24,,-0.0954
249,Weak,weak,減C組,40,0.2173,0,14,26,,-0.0958
250,Weak,weak,減C組,40,0.317,0,15,25,,0.0283
251,Weak,weak,減C組,40,0.5983,0,22,18,,0.2813
252,Weak,weak,減C組,40,0.4176,0,18,22,,0.1014
253,Weak,weak,減C組,40,0.2682,0,16,24,,-0.0653
254,Weak,weak,減C組,40,0.1832,0,14,26,,-0.1264
255,Weak,weak,減C組,40,0.2181,0,16,24,,-0.0809
256,Weak,weak,減C組,40,0.2692,0,16,24,,-0.0316
257,Weak,weak,減C組,40,0.3798,0,19,21,,0.0603
258,Weak,weak,減C組,40,0.3471,0,18,22,,0.0718
259,Weak,weak,減C組,40,0.3185,0,16,24,,0.0319
260,Weak,weak,減C組,40,0.3644,0,19,21,,0.0615
261,Weak,weak,減C組,40,0.5034,0,22,18,,0.1749
262,Weak,weak,減C組,40,0.6368,0,22,18,,0.3246
263,Weak,weak,減C組,40,0.445,0,17,23,,0.1306
264,Weak,weak,減C組,40,0.5082,0,22,18,,0.167
265,Weak,weak,減C組,40,0.5908,0,22,18,,0.2715
266,Weak,weak,減C組,40,0.6355,0,22,18,,0.3143
267,Weak,weak,減C組,40,0.5402,0,23,17,,0.2264
268,Weak,weak,減C組,40,0.4944,0,24,16,,0.2142
269,Weak,weak,減C組,40,0.4519,0,19,21,,0.1605
270,Weak,weak,減C組,40,0.3498,0,14,26,,0.0455
271,Weak,weak,減C組,40,0.5963,0,28,12,,0.2645
272,Weak,weak,減C組,40,0.5105,0,20,20,,0.2197
273,Weak,weak,減C組,40,0.4712,0,22,18,,0.1706
274,Weak,weak,減C組,40,0.1759,0,14,26,,-0.1093
275,Weak,weak,減C組,40,0.4782,0,20,20,,0.1759
276,Weak,weak,減C組,40,0.3517,0,16,24,,0.0776
277,Weak,weak,減C組,40,0.6727,0,24,16,,0.3381
278,Weak,weak,減C組,40,0.3713,0,21,19,,0.0698
279,Weak,weak,減C組,40,0.5025,0,20,20,,0.1873
280,Weak,weak,減C組,40,0.5908,0,26,14,,0.2839
281,Weak,weak,減C組,40,0.3397,0,21,19,,0.0408
282,Weak,weak,減C組,40,0.2506,0,14,26,,-0.0392
283,Weak,weak,減C組,40,0.4033,0,18,22,,0.1406
284,Weak,weak,減C組,40,0.4528,0,22,18,,0.17
285,Weak,weak,減C組,40,0.5229,0,22,18,,0.2233
286,Weak,weak,減C組,40,0.5228,0,24,16,,0.2137
287,Weak,weak,減C組,40,0.4255,0,21,19,,0.1102
288,Weak,weak,減C組,40,0.6097,0,24,16,,0.2909
289,Weak,weak,減C組,40,0.3312,0,14,26,,0.0528
290,Weak,weak,減C組,40,0.2435,0,15,25,,-0.0718
291,Weak,weak,減C組,40,0.6321,0,22,18,,0.2964
292,Weak,weak,減C組,40,0.4333,0,18,22,,0.1206
293,Weak,weak,減C組,40,0.5335,0,22,18,,0.208
294,Weak,weak,減C組,40,0.3046,0,17,23,,-0.015
295,Weak,weak,減C組,40,0.2259,0,14,26,,-0.0617
296,Weak,weak,減C組,40,0.2387,0,14,26,,-0.0453
297,Weak,weak,減C組,40,0.4858,0,22,18,,0.1422
298,Weak,weak,減C組,40,0.5551,0,22,18,,0.2619
299,Weak,weak,減C組,40,0.227,0,15,25,,-0.0946
300,Weak,weak,減C組,40,0.4302,0,19,21,,0.1481
